a,mstar,mvir,sfr,ssfr
0.21,9.23706595256,10.9716742332,3.8220092741,-8.65477421602
0.22,9.37458339273,11.0614600189,5.38963814824,-8.64302378441
0.23,9.42796947138,11.0940341687,2.54316853785,-9.0225943292
0.24,9.44862130733,11.1353044262,1.04958730874,-9.42760273661
0.25,9.49372565566,11.1138665088,2.4271392485,-9.10863096251
0.26,9.54875660106,11.145146663,3.26481716962,-9.03489773534
0.27,9.60510779071,11.1639451416,3.73661221347,-9.0326297617
0.28,9.66219193621,11.2050852145,4.24438360275,-9.03437730815
0.29,9.6966263189,11.2201813364,2.80034572169,-9.24941466765
0.3,9.73808655962,11.3341822322,3.62704410758,-9.17853372266
0.31,9.84064862355,11.4567743209,10.4662185453,-8.82085882454
0.32,9.9049031762,11.5174703803,7.83143717881,-9.01106170769
0.33,10.0671601619,11.5415230815,25.4777074523,-8.6609998154
0.34,10.0941705474,11.5587109699,5.1831040496,-9.37958062008
0.35,10.1283637223,11.569040159,6.96369298156,-9.28552410683
0.36,10.1480903294,11.5670334278,4.22959701998,-9.521791338
0.37,10.1660865686,11.5442962992,3.99026241843,-9.56508511072
0.38,10.1783322175,11.5614460576,2.7852710191,-9.73346475722
0.39,10.1945365417,11.5622178976,3.77532470954,-9.61758223114
0.4,10.2068339684,11.5607003113,2.93637313823,-9.73902272588
0.41,10.2180310737,11.5579004152,2.72586427076,-9.78252684652
0.42,10.2258750469,11.5627649774,1.93785477996,-9.93855381839
0.43,10.2337522924,11.5621667223,1.9683428586,-9.93965154348
0.44,10.2410855453,11.5669781085,1.85316951069,-9.97317039891
0.45,10.2481915855,11.5656837471,1.815299297,-9.98924334607
0.46,10.259089537,11.5664740256,2.82716592323,-9.80773823951
0.47,10.2647729751,11.5694558442,1.49542058704,-10.0900096199
0.48,10.2723197639,11.575833032,2.00714481316,-9.96974105641
0.49,10.2804668234,11.5640076151,2.1972913503,-9.93857917729
0.5,10.2858542379,11.5838978447,1.47036119877,-10.1184302043
0.51,10.2904998367,11.5863250737,1.27838198817,-10.1838391937
0.52,10.2970291432,11.5748631578,1.81466707579,-10.0382321835
0.53,10.3032803153,11.5993578912,1.75857404313,-10.0581196567
0.54,10.3058305489,11.6031736134,0.723115258709,-10.4466230231
